,Start,Finish,Steps (count),Day of week,hour,date
0,2022-01-01 00:00:00,01-Jan-2022 01:00,32,Saturday,0,2022-01-01
1,2022-01-01 01:00:00,01-Jan-2022 02:00,0,Saturday,1,2022-01-01
2,2022-01-01 02:00:00,01-Jan-2022 03:00,0,Saturday,2,2022-01-01
3,2022-01-01 03:00:00,01-Jan-2022 04:00,0,Saturday,3,2022-01-01
4,2022-01-01 04:00:00,01-Jan-2022 05:00,0,Saturday,4,2022-01-01
5,2022-01-01 05:00:00,01-Jan-2022 06:00,0,Saturday,5,2022-01-01
6,2022-01-01 06:00:00,01-Jan-2022 07:00,0,Saturday,6,2022-01-01
7,2022-01-01 07:00:00,01-Jan-2022 08:00,0,Saturday,7,2022-01-01
8,2022-01-01 08:00:00,01-Jan-2022 09:00,0,Saturday,8,2022-01-01
9,2022-01-01 09:00:00,01-Jan-2022 10:00,526,Saturday,9,2022-01-01
10,2022-01-01 10:00:00,01-Jan-2022 11:00,274,Saturday,10,2022-01-01
11,2022-01-01 11:00:00,01-Jan-2022 12:00,538,Saturday,11,2022-01-01
12,2022-01-01 12:00:00,01-Jan-2022 13:00,515,Saturday,12,2022-01-01
13,2022-01-01 13:00:00,01-Jan-2022 14:00,393,Saturday,13,2022-01-01
14,2022-01-01 14:00:00,01-Jan-2022 15:00,321,Saturday,14,2022-01-01
15,2022-01-01 15:00:00,01-Jan-2022 16:00,1771,Saturday,15,2022-01-01
16,2022-01-01 16:00:00,01-Jan-2022 17:00,1361,Saturday,16,2022-01-01
17,2022-01-01 17:00:00,01-Jan-2022 18:00,171,Saturday,17,2022-01-01
18,2022-01-01 18:00:00,01-Jan-2022 19:00,28,Saturday,18,2022-01-01
19,2022-01-01 19:00:00,01-Jan-2022 20:00,431,Saturday,19,2022-01-01
20,2022-01-01 20:00:00,01-Jan-2022 21:00,68,Saturday,20,2022-01-01
21,2022-01-01 21:00:00,01-Jan-2022 22:00,173,Saturday,21,2022-01-01
22,2022-01-01 22:00:00,01-Jan-2022 23:00,156,Saturday,22,2022-01-01
23,2022-01-01 23:00:00,02-Jan-2022 00:00,0,Saturday,23,2022-01-01
24,2022-01-02 00:00:00,02-Jan-2022 01:00,0,Sunday,0,2022-01-02
25,2022-01-02 01:00:00,02-Jan-2022 02:00,0,Sunday,1,2022-01-02
26,2022-01-02 02:00:00,02-Jan-2022 03:00,0,Sunday,2,2022-01-02
27,2022-01-02 03:00:00,02-Jan-2022 04:00,0,Sunday,3,2022-01-02
28,2022-01-02 04:00:00,02-Jan-2022 05:00,0,Sunday,4,2022-01-02
29,2022-01-02 05:00:00,02-Jan-2022 06:00,0,Sunday,5,2022-01-02
30,2022-01-02 06:00:00,02-Jan-2022 07:00,0,Sunday,6,2022-01-02
31,2022-01-02 07:00:00,02-Jan-2022 08:00,0,Sunday,7,2022-01-02
