Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066160,2022,01,01,0.0,,Y
IDCJAC0009,066160,2022,01,02,0.0,,Y
IDCJAC0009,066160,2022,01,03,0.0,,Y
IDCJAC0009,066160,2022,01,04,0.8,1,Y
IDCJAC0009,066160,2022,01,05,4.0,1,Y
IDCJAC0009,066160,2022,01,06,16.0,1,Y
IDCJAC0009,066160,2022,01,07,4.6,1,Y
IDCJAC0009,066160,2022,01,08,25.2,1,Y
IDCJAC0009,066160,2022,01,09,0.8,1,Y
IDCJAC0009,066160,2022,01,10,1.1,1,Y
IDCJAC0009,066160,2022,01,11,1.0,1,Y
IDCJAC0009,066160,2022,01,12,0.0,,Y
IDCJAC0009,066160,2022,01,13,33.2,1,Y
IDCJAC0009,066160,2022,01,14,3.6,1,Y
IDCJAC0009,066160,2022,01,15,0.8,1,Y
IDCJAC0009,066160,2022,01,16,0.0,,Y
IDCJAC0009,066160,2022,01,17,0.0,,Y
IDCJAC0009,066160,2022,01,18,0.0,,Y
IDCJAC0009,066160,2022,01,19,9.1,1,Y
IDCJAC0009,066160,2022,01,20,1.0,1,Y
IDCJAC0009,066160,2022,01,21,1.0,1,Y
IDCJAC0009,066160,2022,01,22,2.0,1,Y
IDCJAC0009,066160,2022,01,23,5.6,1,Y
IDCJAC0009,066160,2022,01,24,2.0,1,Y
IDCJAC0009,066160,2022,01,25,0.0,,Y
IDCJAC0009,066160,2022,01,26,0.0,,Y
IDCJAC0009,066160,2022,01,27,0.0,,Y
IDCJAC0009,066160,2022,01,28,0.0,,Y
IDCJAC0009,066160,2022,01,29,0.0,,Y
IDCJAC0009,066160,2022,01,30,0.0,,Y
IDCJAC0009,066160,2022,01,31,0.0,,Y
IDCJAC0009,066160,2022,02,01,0.0,,N
IDCJAC0009,066160,2022,02,02,8.0,1,N
IDCJAC0009,066160,2022,02,03,1.0,1,N
IDCJAC0009,066160,2022,02,04,4.6,1,N
IDCJAC0009,066160,2022,02,05,14.2,1,N
IDCJAC0009,066160,2022,02,06,0.6,1,N
IDCJAC0009,066160,2022,02,07,14.8,1,N
IDCJAC0009,066160,2022,02,08,16.8,1,N
IDCJAC0009,066160,2022,02,09,4.0,1,N
IDCJAC0009,066160,2022,02,10,0.0,,N
IDCJAC0009,066160,2022,02,11,4.8,1,N
IDCJAC0009,066160,2022,02,12,2.6,1,N
IDCJAC0009,066160,2022,02,13,4.0,1,N
IDCJAC0009,066160,2022,02,14,0.0,,N
