Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066160,2022,01,01,27.6
IDCJAC0016,066160,2022,01,02,31.9
IDCJAC0016,066160,2022,01,03,31.6
IDCJAC0016,066160,2022,01,04,28.6
IDCJAC0016,066160,2022,01,05,16.8
IDCJAC0016,066160,2022,01,06,23.4
IDCJAC0016,066160,2022,01,07,14.0
IDCJAC0016,066160,2022,01,08,27.5
IDCJAC0016,066160,2022,01,09,10.8
IDCJAC0016,066160,2022,01,10,20.3
IDCJAC0016,066160,2022,01,11,19.3
IDCJAC0016,066160,2022,01,12,21.4
IDCJAC0016,066160,2022,01,13,14.9
IDCJAC0016,066160,2022,01,14,25.5
IDCJAC0016,066160,2022,01,15,18.1
IDCJAC0016,066160,2022,01,16,29.4
IDCJAC0016,066160,2022,01,17,25.4
IDCJAC0016,066160,2022,01,18,9.5
IDCJAC0016,066160,2022,01,19,7.0
IDCJAC0016,066160,2022,01,20,18.6
IDCJAC0016,066160,2022,01,21,20.5
IDCJAC0016,066160,2022,01,22,25.7
IDCJAC0016,066160,2022,01,23,21.5
IDCJAC0016,066160,2022,01,24,24.5
IDCJAC0016,066160,2022,01,25,23.3
IDCJAC0016,066160,2022,01,26,29.0
IDCJAC0016,066160,2022,01,27,28.3
IDCJAC0016,066160,2022,01,28,30.0
IDCJAC0016,066160,2022,01,29,27.7
IDCJAC0016,066160,2022,01,30,28.0
IDCJAC0016,066160,2022,01,31,28.1
IDCJAC0016,066160,2022,02,01,24.1
IDCJAC0016,066160,2022,02,02,3.2
IDCJAC0016,066160,2022,02,03,22.6
IDCJAC0016,066160,2022,02,04,18.9
IDCJAC0016,066160,2022,02,05,19.4
IDCJAC0016,066160,2022,02,06,22.0
IDCJAC0016,066160,2022,02,07,15.4
IDCJAC0016,066160,2022,02,08,16.8
IDCJAC0016,066160,2022,02,09,27.5
IDCJAC0016,066160,2022,02,10,24.3
IDCJAC0016,066160,2022,02,11,9.4
IDCJAC0016,066160,2022,02,12,13.3
IDCJAC0016,066160,2022,02,13,24.6
IDCJAC0016,066160,2022,02,14,25.5
IDCJAC0016,066160,2022,02,15,27.0
IDCJAC0016,066160,2022,02,16,26.7
IDCJAC0016,066160,2022,02,17,24.4
IDCJAC0016,066160,2022,02,18,25.2
IDCJAC0016,066160,2022,02,19,6.0
IDCJAC0016,066160,2022,02,20,26.0
IDCJAC0016,066160,2022,02,21,18.9
IDCJAC0016,066160,2022,02,22,0.1
IDCJAC0016,066160,2022,02,23,13.7
IDCJAC0016,066160,2022,02,24,12.7
IDCJAC0016,066160,2022,02,25,6.9
IDCJAC0016,066160,2022,02,26,6.6
IDCJAC0016,066160,2022,02,27,16.4
IDCJAC0016,066160,2022,02,28,12.8
IDCJAC0016,066160,2022,03,01,9.4
IDCJAC0016,066160,2022,03,02,5.0
IDCJAC0016,066160,2022,03,03,13.6
IDCJAC0016,066160,2022,03,04,17.9
IDCJAC0016,066160,2022,03,05,15.3
IDCJAC0016,066160,2022,03,06,7.4
IDCJAC0016,066160,2022,03,07,10.1
IDCJAC0016,066160,2022,03,08,1.4
IDCJAC0016,066160,2022,03,09,14.1
IDCJAC0016,066160,2022,03,10,22.1
IDCJAC0016,066160,2022,03,11,19.3
IDCJAC0016,066160,2022,03,12,19.4
IDCJAC0016,066160,2022,03,13,12.2
IDCJAC0016,066160,2022,03,14,12.9
IDCJAC0016,066160,2022,03,15,21.2
IDCJAC0016,066160,2022,03,16,14.8
IDCJAC0016,066160,2022,03,17,19.3
IDCJAC0016,066160,2022,03,18,19.3
IDCJAC0016,066160,2022,03,19,9.7
IDCJAC0016,066160,2022,03,20,20.9
IDCJAC0016,066160,2022,03,21,14.8
IDCJAC0016,066160,2022,03,22,20.9
IDCJAC0016,066160,2022,03,23,10.2
IDCJAC0016,066160,2022,03,24,4.8
IDCJAC0016,066160,2022,03,25,12.2
IDCJAC0016,066160,2022,03,26,9.2
IDCJAC0016,066160,2022,03,27,9.9
IDCJAC0016,066160,2022,03,28,11.6
IDCJAC0016,066160,2022,03,29,8.0
IDCJAC0016,066160,2022,03,30,11.6
IDCJAC0016,066160,2022,03,31,7.4
IDCJAC0016,066160,2022,04,01,7.0
IDCJAC0016,066160,2022,04,02,10.9
IDCJAC0016,066160,2022,04,03,16.2
IDCJAC0016,066160,2022,04,04,18.3
IDCJAC0016,066160,2022,04,05,18.3
IDCJAC0016,066160,2022,04,06,1.7
IDCJAC0016,066160,2022,04,07,3.3
IDCJAC0016,066160,2022,04,08,10.6
IDCJAC0016,066160,2022,04,09,15.1
IDCJAC0016,066160,2022,04,10,16.3
IDCJAC0016,066160,2022,04,11,16.9
IDCJAC0016,066160,2022,04,12,14.9
IDCJAC0016,066160,2022,04,13,11.1
IDCJAC0016,066160,2022,04,14,14.9
IDCJAC0016,066160,2022,04,15,16.3
IDCJAC0016,066160,2022,04,16,14.4
IDCJAC0016,066160,2022,04,17,14.8
IDCJAC0016,066160,2022,04,18,15.6
IDCJAC0016,066160,2022,04,19,15.5
IDCJAC0016,066160,2022,04,20,15.0
IDCJAC0016,066160,2022,04,21,9.8
IDCJAC0016,066160,2022,04,22,4.9
IDCJAC0016,066160,2022,04,23,13.9
IDCJAC0016,066160,2022,04,24,14.8
IDCJAC0016,066160,2022,04,25,12.6
IDCJAC0016,066160,2022,04,26,6.7
IDCJAC0016,066160,2022,04,27,4.2
IDCJAC0016,066160,2022,04,28,7.9
IDCJAC0016,066160,2022,04,29,12.8
IDCJAC0016,066160,2022,04,30,3.8
IDCJAC0016,066160,2022,05,01,14.1
IDCJAC0016,066160,2022,05,02,12.2
IDCJAC0016,066160,2022,05,03,14.1
IDCJAC0016,066160,2022,05,04,13.9
