value__sum_values,value__median,value__mean,value__length,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum,Label
-657497.2303620144,-50.86875432666858,-57.9241679466139,11351.0,776.6343791456891,603160.95887101,778.791479218486,1363.1312456733315,2452.8687543266687,-2452.8687543266687,L
-2488980.348006678,-306.8687543266686,-257.89869941007953,9651.0,835.2005021579413,697559.8788048773,874.1119024257066,1286.1312456733315,2209.8687543266687,-2209.8687543266687,L
604478.0256953225,-97.86875432666858,60.74545530050473,9951.0,1260.8310778724597,1589695.0069290283,1262.2935543163856,3241.1312456733313,3241.1312456733313,-1989.8687543266685,R
1476205.2886303258,95.00028585645771,79.79056746285745,18501.0,1193.0254889661787,1423309.81732299,1195.6907426165992,3724.0002858564576,3724.0002858564576,-2915.9997141435424,R
-1473830.798121816,-64.99971414354229,-131.58028730665262,11201.0,858.980940005439,737848.2552926276,869.0003609322201,1279.0002858564576,2539.9997141435424,-2539.9997141435424,L
101802.60207722452,-30.999714143542292,8.078930408477465,12601.0,825.4162986704855,681312.0661108841,825.4558348133647,2228.0002858564576,2228.0002858564576,-1344.9997141435424,R
-189453.81390744605,-294.9997141435423,-291.01968342157613,651.0,51.40724336465007,2642.704670352359,295.5252287185423,-191.9997141435423,385.9997141435423,-385.9997141435423,L
3167229.143973153,509.85538255033555,342.36613814432525,9251.0,1358.9323335616098,1846697.087199202,1401.3963250084043,3581.8553825503354,3581.8553825503354,-1622.1446174496646,R
1919848.2862550323,98.85538255033555,129.27400755875243,14851.0,1127.5232102941793,1271308.5897520923,1134.9098461033777,3800.8553825503354,3800.8553825503354,-1972.1446174496646,R
2061238.1466577174,421.85538255033555,259.2426294375195,7951.0,1514.4498097391493,2293558.2262189453,1536.4781049974727,3806.8553825503354,3806.8553825503354,-1739.1446174496646,R
-2049669.1929930018,-322.17450231133625,-256.1766270457445,8001.0,819.9208998953645,672270.2820852243,859.0091654515444,1274.8254976886637,2497.1745023113363,-2497.1745023113363,L
1932393.3996107224,113.82549768866375,172.51972141868782,11201.0,1173.1888741489797,1376372.1344269507,1185.8057128827354,3139.8254976886637,3139.8254976886637,-2133.1745023113363,R
-1871559.9227312405,-268.17450231133625,-186.20633993943295,10051.0,965.5797805396518,932344.3125870022,983.3702830676966,1464.8254976886637,2761.1745023113363,-2761.1745023113363,L
